"num_appui";"code_commune";"libelle_commune";"code_voie";"libelle_voie";"code_centre";"code_zone";"code_entite";"num_voie";"type_appui";"caract1";"caract2";"caract3";"caract4";"caract5";"type_projection";"coord_x";"coord_y"
"0727627";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BC7";;;;;;"Lambert II Etendu";"913985.227509449";"2307036.3763655676"
"0727745";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BC7";"ANC";"PRT";"TDL";"PMX";;"Lambert II Etendu";"914635.6280750947";"2309116.0917781536"
"0720424";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BC8";"ANC";"TRM";;;;"Lambert II Etendu";"913903.8268944209";"2306960.2239575717"
"0727625";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BS7";"TCR";;;;;"Lambert II Etendu";"913921.794498089";"2306987.5321873804"
"0727624";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BS8";"PCH";"PRT";"PMX";;;"Lambert II Etendu";"913920.8740379426";"2306913.0686846236"
"0727626";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BH8";"TCR";;;;;"Lambert II Etendu";"913944.6480001226";"2307012.5027235365"
"0727628";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BS7";;;;;;"Lambert II Etendu";"914155.9589914142";"2307345.360048295"
"0727746";"70259";"FROIDETERRE";"001T";"RUE PONT DE L'OGNON";"LUR";"AD0";"X0";"";"BS8";"TRN";;;;;"Lambert II Etendu";"914692.3086436077";"2309143.058191794"
"0727750";"70259";"FROIDETERRE";"004T";"CHE VIE DU BOIS";"LUR";"AD0";"X0";"";"BS8";"TRN";;;;;"Lambert II Etendu";"914539.6241310912";"2309314.170656083"
"0727743";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"27BIS";"BS7";"TRM";;;;;"Lambert II Etendu";"914609.3321797277";"2308853.2120527895"
"0727744";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"40";"BS7";"PCG";"TRM";;;;"Lambert II Etendu";"914599.0816846886";"2308864.5415343456"
"0727747";"70259";"FROIDETERRE";"001T";"RUE PONT DE L'OGNON";"LUR";"AD0";"X0";"";"BS8";"TRM";"TRN";;;;"Lambert II Etendu";"914867.3708112682";"2309155.7517015394"
"0727748";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"MS7";"TRN";;;;;"Lambert II Etendu";"914555.0447389588";"2309386.62608405"
"0740375";"70259";"FROIDETERRE";"007T";"RUE VILLAGE";"LUR";"AD0";"X0";"";"BS8";"TRM";;;;;"Lambert II Etendu";"913910.0305829438";"2306935.502110916"
