id;id_opp;travaux;prev_starr;cables;prog_dsp;date_exe;moa;nb_suf;longueur;nb_chb_exists;nb_chb_a_creer
1;OPP_2-35_LT_26078_CRLS_001;Déviation route;;1;2017;Inconnue;Conseil départemental de la Drôme;3;1394;;4
2;OPP_2-35_LT_26078_CRLS_001;Déviation route;;198;2017;Inconnue;Conseil départemental de la Drôme;3;200;;2
3;OPP_2-35_LT_26078_CRLS_001;Déviation route;;;2017;Inconnue;Conseil départemental de la Drôme;3;47;;5
4;OPP_3-1_LT_07231_WEFB_002;Assainissement;;; ;Inconnue;Syndicat intercommunal d'assainissement et d'eau de St Etienne de Fontbellon et St Sernin;40;1235;;4
5;OPP_3-25_LT_07201_RUMS_002;Rénovation enrobé;;;2017;Inconnue;;178;3360;1;2
6;OPP_4-10_LT_26173_MCHE_001;Pose du cable HTA dans fourreau posé par INEO et fourni par ENEDIS. Depose de la HTA et BT sur support mixte mais pas de branchement aériens;;1x720FO + 1x144FO + 1x2FO ;2017;Inconnue;Enedis;1042;42726;;35
7;OPP_4-10_LT_26173_MCHE_002;Refection de voirie;;1;2017;Inconnue;Mairie de Charpey;77;1428;;3
8;OPP_4-34_LT_07204_WAGV_001;Réseaux humides + pose de nouvelles conduites + pose de chambres type L3 + enfouissement de rares traversées de réseaux aériens;;6;2019;Inconnue;Mairie de Saint-Agrève;124;352;;1
9;OPP_4-34_LT_07204_WAGV_001;Réseaux humides + pose de nouvelles conduites + pose de chambres type L3 + enfouissement de rares traversées de réseaux aériens;;;2019;Inconnue;Mairie de Saint-Agrève;124;94;;1
10;OPP_LT_07024_BANN_001;Rénovation couche de roulement RD 111 ;;; ;Inconnue;;;26;1;1
11;OPP_LT_07330_VPAR_001;Adduction en eau potable;;1; ;Inconnue;;;95;;1
12;OPP_LT_07330_VPAR_001;Adduction en eau potable;;; ;Inconnue;;;10;;1
13;OPP_LT_07330_VPAR_001;Rénovation du réseau d'eau potable ;;; ;Inconnue;;;20;;2
14;OPP_LT_26148_HTRV_001;Creation ligne HTA+BT+ encorbellement;;1; ;Inconnue;;48;2640;;5
15;OPP_LT_26381_JLAN_001;HTA;;; ;Inconnue;Enedis;219;17065;;13
