chambre_a;type_chb_a;implant_a;chambre_b;type_chb_b;implant_b;id_cable;composition;type_reseau;longueur;proprietaire;percement_a;percement_b;diam_alveole;occup_alv;perc_occup;classement
897;L5T;T;361;OHN;T;385;6Ø75/80+4Ø45;;52;Orange;Oui;Non;-;-;-;1
897;L5T;T;904;B1;T;386;3Ø75/80;;146;Orange;Non;Non;-;-;-;2
897;L5T;T;895;OHN;T;387;1Ø75/80+4Ø45;;48;Orange;Non;Non;-;-;-;3
897;L5T;T;896;L1P;T;1329;2Ø45;;41;Orange;Non;Non;-;-;-;5
897;L5T;T;910;D2;C;3261;6Ø75/80;;291;Orange;Non;Non;-;-;-;7
897;L5T;T;898;OHN;T;3264;1Ø150;;8;Orange;Non;Non;-;-;-;8
910;D2;C;912;OHN;T;97;1Ø150;;24;Orange;Non;Non;-;-;-;10
910;D2;C;904;B1;T;99;3Ø75/80;;147;Orange;Non;Non;-;-;-;12
904;B1;T;910;D2;C;99;3Ø75/80;;147;Orange;Non;Non;-;-;-;14
361;OHN;T;897;L5T;T;385;6Ø75/80+4Ø45;;52;Orange;Non;Non;-;-;-;16
895;OHN;T;897;L5T;T;387;1Ø75/80+4Ø45;;48;Orange;Non;Non;-;-;-;18
361;OHN;T;380;L3P;T;392;10Ø77/80;;39;Orange;Non;Non;-;-;-;20
361;OHN;T;360;P3C;C;456;15Ø77/80;;184;Orange;Non;Non;-;-;-;24
904;B1;T;906;L4P;T;1231;4Ø45;;9;Orange;Non;Non;-;-;-;30
904;B1;T;911;A3;T;1326;3Ø75/80;;99;Orange;Non;Non;-;-;-;32
904;B1;T;909;K2C;C;1639;6Ø45;;57;Orange;Non;Non;-;-;-;34
904;B1;T;905;L2P;T;1754;3Ø75/80;;56;Orange;Non;Non;-;-;-;36
910;D2;C;981;A3;T;1781;4Ø77/80+4Ø45;;27;Orange;Non;Non;-;-;-;38
910;D2;C;911;A3;T;2151;2Ø45;;49;Orange;Non;Non;-;-;-;40
895;OHN;T;905;L2P;T;2152;3Ø75/80;;41;Orange;Non;Non;-;-;-;42
910;D2;C;1324;L5T;T;2171;6Ø60+4Ø45;;32;Orange;Non;Non;-;-;-;46
361;OHN;T;901;OHN;C;2438;Ciment:1Ø150;;11;Orange;Non;Non;-;-;-;48
910;D2;C;984;L6T;T;2589;3Ø75/80;;144;Orange;Non;Non;-;-;-;54
896;L1P;T;504;L0T;T;2723;1Ø45;;7;Orange;Non;Non;-;-;-;56
911;A3;T;913;L2P;T;98;3Ø45;;24;Orange;Non;Non;-;-;-;74
981;A3;T;982;L0T;T;127;2Ø60;;4;Orange;Non;Non;-;-;-;86
904;B1;T;897;L5T;T;386;3Ø75/80;;146;Orange;Non;Non;-;-;-;104
901;OHN;C;363;K2C;C;388;4Ø45;;128;Orange;Non;Non;-;-;-;116
901;OHN;C;903;L1T;T;389;1Ø45;;21;Orange;Non;Non;-;-;-;128
984;L6T;T;985;OHN;T;526;Ciment:2Ø150;;57;Orange;Non;Non;-;-;-;140
984;L6T;T;1326;B1;T;528;3Ø75/80+4Ø45;;242;Orange;Non;Non;-;-;-;143
981;A3;T;984;L6T;T;529;4Ø45;;119;Orange;Non;Non;-;-;-;146
984;L6T;T;981;A3;T;529;4Ø45;;119;Orange;Non;Non;-;-;-;149
360;P3C;C;363;K2C;C;628;6Ø45;;66;Orange;Non;Non;-;-;-;152
1324;L5T;T;931;M1C;C;925;6Ø60+4Ø45;;92;Orange;Non;Non;-;-;-;164
901;OHN;C;391;L0T;T;1225;1Ø45;;77;Orange;Non;Non;-;-;-;167
380;L3P;T;362;OHN;C;1227;10Ø77/80;;32;Orange;Non;Non;-;-;-;179
360;P3C;C;865;OHN;C;1322;6Ø75/80+4Ø45;;164;Orange;Non;Non;-;-;-;188
911;A3;T;904;B1;T;1326;3Ø75/80;;99;Orange;Non;Non;-;-;-;197
981;A3;T;980;A2;T;1359;2Ø45;;9;Orange;Non;Non;-;-;-;218
984;L6T;T;988;L1P;T;1362;4Ø45;;74;Orange;Non;Non;-;-;-;221
380;L3P;T;900;OHN;C;1637;Ciment:1Ø150;;8;Orange;Non;Non;-;-;-;224
906;L4P;T;907;A2;T;1638;4Ø45;;33;Orange;Non;Non;-;-;-;230
905;L2P;T;904;B1;T;1754;3Ø75/80;;56;Orange;Non;Non;-;-;-;236
911;A3;T;910;D2;C;2151;2Ø45;;49;Orange;Non;Non;-;-;-;257
905;L2P;T;895;OHN;T;2152;3Ø75/80;;41;Orange;Non;Non;-;-;-;260
909;K2C;C;926;K2C;C;2157;5Ø45;;40;Orange;Non;Non;-;-;-;263
905;L2P;T;315;A10;T;2444;1Ø120(T);;9;Orange;Non;Non;-;-;-;269
911;A3;T;906;L4P;T;2967;4Ø45;;109;Orange;Non;Non;-;-;-;316
906;L4P;T;911;A3;T;2967;4Ø45;;109;Orange;Non;Non;-;-;-;322
981;A3;T;985;OHN;T;2998;2Ø45;;59;Orange;Non;Non;-;-;-;331
910;D2;C;897;L5T;T;3261;6Ø75/80;;291;Orange;Non;Non;-;-;-;334
906;L4P;T;905;L2P;T;3267;4Ø45;;52;Orange;Non;Non;-;-;-;361
905;L2P;T;906;L4P;T;3267;4Ø45;;52;Orange;Non;Non;-;-;-;364
