id;id_opp;travaux;prev_starr;cables;prog_dsp;date_exe;moa;nb_suf;longueur;nb_chb_exists;nb_chb_a_creer
1;OPP_2-35_LT_26078_CRLS_001;Déviation route;;1x720FO + 1x144FO + 1x2FO ;2017;Inconnue;Conseil départemental de la Drôme;3;1394;;4
2;OPP_3-1_LT_07231_WEFB_002;Assainissement;;1x720FO + 1x144FO + 1x2FO ;2017;Inconnue;Syndicat intercommunal d'assainissement et d'eau de St Etienne de Fontbellon et St Sernin;40;1235;;4
3;OPP_3-25_LT_07201_RUMS_002;Rénovation enrobé;;1x720FO + 1x144FO + 1x2FO ;2017;Inconnue;Syndicat intercommunal d'assainissement et d'eau de St Etienne de Fontbellon et St Sernin;178;3360;1;2
4;OPP_4-10_LT_26173_MCHE_001;Pose du cable HTA dans fourreau posé par INEO et fourni par ENEDIS. Depose de la HTA et BT sur support mixte mais pas de branchement aériens;;1x720FO + 1x144FO + 1x2FO ;2017;Inconnue;Enedis;1042;42726;;35
5;OPP_4-10_LT_26173_MCHE_002;Refection de voirie;;1x720FO + 1x144FO + 1x2FO ;2017;Inconnue;Mairie de Charpey;77;1428;;3
6;OPP_4-34_LT_07204_WAGV_001;Réseaux humides + pose de nouvelles conduites + pose de chambres type L3 + enfouissement de rares traversées de réseaux aériens;;1x720FO + 1x144FO + 1x2FO ;2019;Inconnue;Mairie de Saint-Agrève;124;352;;1
7;OPP_LT_07024_BANN_001;Rénovation couche de roulement RD 111 ;;1x720FO + 1x144FO + 1x2FO ;2019;Inconnue;Mairie de Saint-Agrève;124;26;1;1
8;OPP_LT_07330_VPAR_001;Adduction en eau potable;;1x720FO + 1x144FO + 1x2FO ;2019;Inconnue;Mairie de Saint-Agrève;124;95;;1
9;OPP_LT_26148_HTRV_001;Creation ligne HTA+BT+ encorbellement;;1x720FO + 1x144FO + 1x2FO ;2019;Inconnue;Mairie de Saint-Agrève;48;2640;;5
10;OPP_LT_26381_JLAN_001;HTA;;;2019;Inconnue;Enedis;219;17065;;13
