gid;ad_code;ad_ban_id;ad_nomvoie;ad_fantoir;ad_numero;ad_rep;ad_insee;ad_postal;ad_alias;ad_nom_ld;ad_x_ban;ad_y_ban;ad_commune;ad_section;ad_idpar;ad_x_parc;ad_y_parc;ad_nat;ad_nblhab;ad_nblpro;ad_nbprhab;ad_nbprpro;ad_rivoli;ad_hexacle;ad_hexaclv;ad_distinf;ad_isole;ad_prio;ad_racc;ad_batcode;ad_nombat;ad_ietat;ad_itypeim;ad_imneuf;ad_idatimn;ad_prop;ad_gest;ad_idatsgn;ad_iaccgst;ad_idatcab;ad_idatcom;ad_typzone;ad_comment;ad_geolqlt;ad_geolmod;ad_geolsrc;ad_creadat;ad_majdate;ad_majsrc;ad_abddate;ad_abdsrc;nom_sro;nb_prises_totale;statut;cas_particuliers;nom_id;nom_pro;x;y;potentiel_ftte;geom
1;AD700BB0004867;ADRNIVX_0000000278283708;Port Saint-Martin;0279;4;;70026;70100;;;893016.384765991;6708558.93948802;Arc-lès-Gray;;2018700026000AH0008;893008.899451991;6708568.72688752;;1;0;1;0;;;;11;f;;7;;;;P;;;;;;;;;;;;;;2018-06-07 00:00:00;;;;;N070GAY_S01B;1;E;;1836;;893008.341600268;6708568.26377707;0;01010000206A080000FB3AE6AEA0402B4136B9E11056975941
2;AD700BB0004868;ADRNIVX_0000000278275957;Route de Prantigny;0167;2;;70371;70100;;;898629.666447298;6714228.68358116;Montureux-et-Prantigny;;;;;;1;1;1;1;;;;47;f;;0;;;;P;;;;;;;;;;;;;;2018-06-20 00:00:00;;;;;N070GAY_S01B;2;E;;43258;Entreprises;898575.669300969;6714260.56279649;1;01010000206A080000DC9DAE561F6C2B4197DB0424E59C5941
3;AD700BB0004870;ADRNIVX_0000000278282210;Rue des Varennes;0191;11;;70026;70100;;;894073.490317316;6709605.45769586;Arc-lès-Gray;;2018700026000AC0222;894086.486582663;6709589.86754498;;1;0;1;0;;;;19;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2467;;894078.549679371;6709590.82187713;0;01010000206A08000014936F19FD482B418DA299B455985941
4;AD700BB0004875;ADRNIVX_0000000278280347;Rue des Granges;0160;2;BIS;70026;70100;;;894684.010497606;6710144.14784927;Arc-lès-Gray;;2018700026000AP0146;894697.896663499;6710147.40289423;;1;0;1;0;;;;67;f;;7;;;;P;;;;;;;;;;;;;;2018-06-11 00:00:00;;;;;N070GAY_S01B;1;E;;1611;;894698.698772023;6710148.51283076;0;01010000206A0800005472C565D54D2B412138D220E1985941
5;AD700BB0004876;ADRNIVX_0000002005958888;Rue Louis Chauveau;0220;10;;70026;70100;;;894656.189941572;6709269.38524116;Arc-lès-Gray;;2018700026000AB0818;894611.268388486;6709254.16096699;;0;1;0;1;;;;135;f;;7;;;;P;;;;;;;;;;;;;;2018-06-11 00:00:00;;;;;N070GAY_S01B;1;C;;;Mairie;894589.595008451;6709245.3483295;1;01010000206A08000099F2A430FB4C2B41D6074B56FF975941
6;AD700BB0004877;ADRNIVX_0000000278281014;Rue Charles de Gaulle;0063;15;;70026;70100;;;895872.689014888;6709892.53363925;Arc-lès-Gray;;2018700026000AS0118;895870.218179636;6709906.84347126;;1;0;1;0;;;;26;f;;7;;;;P;;;;;;;;;;;;;;2018-06-13 00:00:00;;;;;N070GAY_S01B;1;E;;2149;;895862.90016082;6709910.07630673;0;01010000206A08000009E1E1CCED562B41A435E284A5985941
7;AD700BB0004934;ADRNIVX_0000000278281317;Chemin d'Autrey;0025;12;;70026;70100;;;893964.425745887;6709709.04590711;Arc-lès-Gray;;2018700026000AM0038;893935.451362526;6709772.29472592;;1;0;1;0;;;;54;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2204;;893970.007564214;6709757.5837055;0;01010000206A080000E874DF0324482B414C6E5B657F985941
8;AD700BB0004937;ADRNIVX_0000000278282217;Rue des Varennes;0191;19;;70026;70100;;;893984.433657638;6709525.52583823;Arc-lès-Gray;;2018700026000AC0192;893995.2827839;6709515.46345067;;1;0;1;0;;;;23;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;2474;;893995.903398795;6709508.54291336;0;01010000206A0800006D498ACE57482B41AD17BF2241985941
9;AD700BB0004943;ADRNIVX_0000000354865962;Rue des Varennes;0191;5;;70026;70100;;;894179.195793076;6709678.71002419;Arc-lès-Gray;;2018700026000AC0277;894186.397257852;6709653.5379089;;1;0;1;0;;;;31;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1953;;894181.031067286;6709662.44865363;0;01010000206A080000220DE80FCA492B41BABDB69C67985941
10;AD700BB0004947;ADRNIVX_0000000278282155;Rue des Varennes;0191;1;;70026;70100;;;894246.235215136;6709680.23284995;Arc-lès-Gray;;2018700026000AC0171;894244.871555215;6709677.09822657;;1;0;1;0;;;;25;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1636;;894250.660558673;6709674.82263842;0;01010000206A08000010BF3452554A2B419D1BA6B46A985941
11;AD700BB0004948;ADRNIVX_0000000278282138;Rue de la Gendarmerie;0140;35;;70026;70100;;;894309.51218262;6709656.18045722;Arc-lès-Gray;;2018700026000AB0770;894309.726190467;6709642.00884528;;1;0;1;0;;;;31;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1923;;894303.278690638;6709643.6466248;0;01010000206A0800000C8AB08EBE4A2B41FE4C62E962985941
12;AD700BB0004949;ADRNIVX_0000000278282137;Rue de la Gendarmerie;0140;33;;70026;70100;;;894332.963450796;6709646.72120649;Arc-lès-Gray;;2018700026000AB0768;894320.948480368;6709629.09677536;;1;0;1;0;;;;15;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1987;;894328.623550014;6709641.44272399;0;01010000206A08000087F2413FF14A2B41FD96555C62985941
13;AD700BB0004950;ADRNIVX_0000000278282173;Rue du Repos;0320;12;;70026;70100;;;894313.522845782;6709604.96090002;Arc-lès-Gray;;2018700026000AB0327;894329.921659092;6709622.64121711;;1;0;1;0;;;;38;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1933;;894322.562822771;6709612.79201339;0;01010000206A080000694E2A20E54A2B41EB58B0325B985941
14;AD700BB0004951;ADRNIVX_0000000311269585;Rue du Repos;0320;10;;70026;70100;;;894327.498075378;6709592.52439281;Arc-lès-Gray;;2018700026000AB0804;894345.232159814;6709612.83504112;;2;0;2;0;;;;22;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;2;E;;1879;;894328.07257481;6709602.50714292;0;01010000206A08000084862825F04A2B41900775A058985941
15;AD700BB0004952;ADRNIVX_0000000311269580;Rue de la Gendarmerie;0140;31;;70026;70100;;;894372.804194632;6709631.68462091;Arc-lès-Gray;;2018700026000AB0806;894359.515454194;6709605.34962401;;1;0;1;0;;;;39;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1880;;894357.274260612;6709604.34372693;0;01010000206A08000011E36B8C2A4B2B413B9FFF1559985941
16;AD700BB0004955;ADRNIVX_0000000278282133;Rue de la Gendarmerie;0140;25;;70026;70100;;;894420.724192905;6709616.24557304;Arc-lès-Gray;;2018700026000AB0317;894417.698233956;6709607.07959171;;1;0;1;0;;;;14;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1170;;894414.57568181;6709607.28226135;0;01010000206A08000025C4BF269D4B2B41E89110D259985941
17;AD700BB0004956;ADRNIVX_0000000278282131;Rue de la Gendarmerie;0140;21;;70026;70100;;;894453.477850802;6709605.86832754;Arc-lès-Gray;;2018700026000AB0314;894429.69215306;6709567.51843406;;1;0;1;0;;;;9;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1375;;894451.491020466;6709600.6705589;0;01010000206A080000D70867FBE64B2B41E46FEA2A58985941
18;AD700BB0004957;ADRNIVX_0000000278282130;Rue de la Gendarmerie;0140;19;;70026;70100;;;894439.463171221;6709573.39922457;Arc-lès-Gray;;2018700026000AB0313;894433.179409053;6709564.41457451;;1;0;1;0;;;;27;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1609;;894450.021753256;6709590.75300523;0;01010000206A080000253E230BE44B2B41DE3C31B055985941
19;AD700BB0004959;ADRNIVX_0000000278282128;Rue de la Gendarmerie;0140;15;;70026;70100;;;894478.510896462;6709596.46136804;Arc-lès-Gray;;2018700026000AB0309;894470.750362406;6709583.67708508;;1;0;1;0;;;;14;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1895;;894471.326127804;6709587.26349561;0;01010000206A0800003739FAA60E4C2B41B11CDDD054985941
20;AD700BB0004966;ADRNIVX_0000000278282178;Rue du Repos;0320;23;;70026;70100;;;894368.525027276;6709552.74041463;Arc-lès-Gray;;2018700026000AB0423;894336.647769523;6709512.60747596;;1;0;1;0;;;;29;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1977;;894356.90694381;6709534.00255924;0;01010000206A08000066F05AD0294B2B413CEE298047985941
21;AD700BB0004967;ADRNIVX_0000000278282179;Rue du Repos;0320;23;BIS;70026;70100;;;894348.23693749;6709569.19413212;Arc-lès-Gray;;2018700026000AB0607;894325.39175799;6709536.66395597;;1;0;1;0;;;;42;f;;7;;;;P;;;;;;;;;;;;;;2018-06-08 00:00:00;;;;;N070GAY_S01B;1;E;;1600;;894332.296718039;6709544.10377131;0;01010000206A080000456DEB97F84A2B416D30A4064A985941
