nom_id;nom_sro;ad_code;ad_numero;ad_rep;ad_nomvoie;ad_nom_ld;ad_commune;ad_postal;ad_insee;x;y;ad_fantoir;ad_ban_id;ad_x_ban;ad_y_ban;ad_idpar;ad_x_parc;ad_y_parc;ad_nombat;ad_rivoli;ad_hexacle;ad_hexaclv;ad_nblhab;ad_nblpro;ad_nbprhab;ad_nbprpro;nb_prises_totale;potentiel_ftte;ad_comment;ad_racc;ad_itypeim;ad_imneuf;ad_idatimn;ad_prop;ad_gest;ad_idatsgn;ad_iaccgst;ad_isole;statut;cas_particuliers;ad_creadat;ad_majdate;ad_majsrc;ad_abddate;ad_abdsrc;nom_pro;typologie_pro;ad_typzone;ad_geolqlt;ad_geolsrc;geom
;N070GAY_S01C;AD700BC0043822;;;Route départementale n°70 d'Avallon (Yonne) à Combeaufontaine;;Arc-lès-Gray;70100;70026;893377.985937872;6708465.25641388;;;;;2018700026000AE0019;893391.143673807;6708463.03450666;;;;;0;1;0;1;1;1;;7;P;;;;;;;f;C;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-07 00:00:00;;;;;scierie;Entreprises;;;;01010000206A08000047D9CCF883432B41C11569503C975941
;N070GAY_S01C;AD700BC0043823;7;;Route départementale n°70;EN PLATEAU                ;Arc-lès-Gray;70100;70026;892534.284270659;6708192.92484066;;;;;2018700026000AI0046;892545.527131559;6708217.15050698;;;;;0;1;0;1;1;1;Route de Dijon;1;P;;;;;;;f;C;Adresse a creer (manque BAN);2018-06-07 00:00:00;;;;;EURO CHANVRE;Entreprises;;;;01010000206A08000081EC8B91EC3C2B41E696303BF8965941
;N070GAY_S01C;AD700BC0043824;7;B;Route départementale n°70;EN PLATEAU                ;Arc-lès-Gray;70100;70026;892419.383125156;6708151.40472786;;;;;2018700026000AI0038;892438.907328403;6708160.86283422;;;;;0;1;0;1;1;1;Route de Dijon;1;P;;;;;;;f;C;Adresse a creer (manque BAN);2018-06-07 00:00:00;;;;;EURO CHANVRE;Entreprises;;;;01010000206A080000FFFA28C4063C2B41B10FE7D9ED965941
;N070GAY_S01C;AD700BC0043825;;;Chemin du Domaine dite VC 301;;Mantoche;70100;70331;892308.734907874;6708184.41898423;;;;;20187003310000B0582;892309.284613434;6708183.65797025;;;;;1;0;1;0;1;0;;0;P;;;;;;;f;C;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-07 00:00:00;;;;;;;;;;01010000206A0800004BD84578293B2B4136A3D01AF6965941
;N070GAY_S01C;AD700BC0043826;;;Chemin rural dit de Passirey;HAMEAU DE PASSIREY        ;Mantoche;70100;70331;891349.591468688;6708351.94110603;;;;;2018700331000YC0015;891336.054473813;6708360.10025371;;;;;1;0;1;0;1;0;;0;P;;;;;;;f;C;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-07 00:00:00;;;;;;;;;;01010000206A080000E0FBD42EAB332B41CA143BFC1F975941
;N070GAY_S01C;AD700BC0043827;;;Chemin rural dit de Passirey;HAMEAU DE PASSIREY        ;Mantoche;70100;70331;891384.479896808;6708360.87946365;;;;;2018700331000YC0017;891386.630657072;6708365.73810305;;;;;1;0;1;0;1;0;;0;P;;;;;;;f;C;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-07 00:00:00;;;;;;;;;;01010000206A080000D108B5F5F0332B41E621493822975941
;N070GAY_S01C;AD700BC0043828;;;Chemin rural dit de Passirey;;Mantoche;70100;70331;891389.093242675;6708416.23961405;;;;;2018700331000YC0016;891384.13662607;6708470.6243627;;;;;0;0;0;0;0;0;Grange;;P;;;;;;;f;S;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-07 00:00:00;;;;;;;;;;01010000206A0800000281BD2FFA332B412FD6550F30975941
;N070GAY_S01D;AD700BD0043829;;;RUE  DU REPOS                  ;;Arc-lès-Gray;70100;70026;894408.673788043;6709503.03522984;;;;;2018700026000AB0676;894385.511214457;6709476.46442658;;;;;0;0;0;0;0;0;;;P;;;;;;;f;S;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-08 00:00:00;;;;;;;;;;01010000206A08000016BFFA58914B2B41A73441C23F985941
;N070GAY_S01C;AD700BC0043830;;;;;Arc-lès-Gray;70100;70026;894445.485107971;6709502.86281148;;;;;2018700026000AB0301;894444.391440736;6709503.15982395;;;;;0;0;0;0;0;0;;;P;;;;;;;f;S;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-08 00:00:00;;;;;;;;;;01010000206A080000711260F8DA4B2B41A24D38B73F985941
;N070GAY_S01D;AD700BD0043831;;;RUE  DU REPOS                  ;;Arc-lès-Gray;70100;70026;894399.535614946;6709510.36301015;;;;;2018700026000AB0403;894393.105170873;6709500.05240763;;;;;0;0;0;0;0;0;;;P;;;;;;;f;S;"Adresse a fiabiliser (Mairie);Adresse a creer (manque BAN)";2018-06-08 00:00:00;;;;;;;;;;01010000206A0800004C1F3C127F4B2B41EF8E3B9741985941
