or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR700000000000;;HSN;;;;;;;;;;;; ;;;;24/07/2018;;;;
OR700000000001;;EXPLOITANT;;;;;;;;;;;;;;;;24/07/2018;;;;
OR700000000002;;ORANGE;;;;;;;RUE OLIVIER DE SERRES;78;;;75505;PARIS CEDEX 15 ;;;;24/07/2018;;;;
OR700000000003;;ENEDIS;;;;;;;;;;;;;;;;24/07/2018;;;;
OR700000000004;;ETAT;;;;;;;;;;;;;;;;24/07/2018;;;;
OR700000000005;;DEPARTEMENT;;;;;;;;;;;;;;;;24/07/2018;;;;
OR700000000006;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000007;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000008;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000009;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000010;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000011;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000012;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000013;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000014;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000015;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000016;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000017;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000018;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000019;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000020;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000021;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000022;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000023;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000024;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000025;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000026;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000027;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000028;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000029;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000030;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000031;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000032;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000033;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000034;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000035;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000036;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000037;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000038;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000039;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000040;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000041;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000042;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000043;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000044;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000045;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000046;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000047;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000048;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000049;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000050;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000051;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000052;;EPCI ;;;;;;;;;;;;;;;;;;;;
OR700000000053;;COMMUNE;70001;;;;;;;;;;70300;Abelcourt;;;;24/07/2018;;;;
OR700000000054;;COMMUNE;70002;;;;;;;;;;70500;Aboncourt-Gesincourt;;;;24/07/2018;;;;
OR700000000055;;COMMUNE;70003;;;;;;;;;;70180;Achey;;;;24/07/2018;;;;
OR700000000056;;COMMUNE;70004;;;;;;;;;;70200;Adelans-et-le-Val-de-Bithaine;;;;24/07/2018;;;;
OR700000000057;;COMMUNE;70005;;;;;;;;;;70110;Aillevans;;;;24/07/2018;;;;
OR700000000058;;COMMUNE;70006;;;;;;;;;;70320;Aillevillers-et-Lyaumont;;;;24/07/2018;;;;
OR700000000059;;COMMUNE;70007;;;;;;;;;;70300;Ailloncourt;;;;24/07/2018;;;;
OR700000000060;;COMMUNE;70008;;;;;;;;;;70800;Ainvelle;;;;24/07/2018;;;;
OR700000000061;;COMMUNE;70009;;;;;;;;;;70500;Aisey-et-Richecourt;;;;24/07/2018;;;;
OR700000000062;;COMMUNE;70010;;;;;;;;;;70210;Alaincourt;;;;24/07/2018;;;;
OR700000000063;;COMMUNE;70011;;;;;;;;;;70280;Amage;;;;24/07/2018;;;;
OR700000000064;;COMMUNE;70012;;;;;;;;;;70160;Amance;;;;24/07/2018;;;;
OR700000000065;;COMMUNE;70013;;;;;;;;;;70210;Ambiévillers;;;;24/07/2018;;;;
OR700000000066;;COMMUNE;70014;;;;;;;;;;70200;Amblans-et-Velotte;;;;24/07/2018;;;;
OR700000000067;;COMMUNE;70015;;;;;;;;;;70170;Amoncourt;;;;24/07/2018;;;;
OR700000000068;;COMMUNE;70016;;;;;;;;;;70310;Amont-et-Effreney;;;;24/07/2018;;;;
OR700000000069;;COMMUNE;70017;;;;;;;;;;70210;Anchenoncourt-et-Chazel;;;;24/07/2018;;;;
OR700000000070;;COMMUNE;70018;;;;;;;;;;70100;Ancier;;;;24/07/2018;;;;
OR700000000071;;COMMUNE;70019;;;;;;;;;;70000;Andelarre;;;;24/07/2018;;;;
OR700000000072;;COMMUNE;70020;;;;;;;;;;70000;Andelarrot;;;;24/07/2018;;;;
OR700000000073;;COMMUNE;70021;;;;;;;;;;70200;Andornay;;;;24/07/2018;;;;
OR700000000074;;COMMUNE;70022;;;;;;;;;;70700;Angirey;;;;24/07/2018;;;;
OR700000000075;;COMMUNE;70023;;;;;;;;;;70800;Anjeux;;;;24/07/2018;;;;
OR700000000076;;COMMUNE;70024;;;;;;;;;;70100;Apremont;;;;24/07/2018;;;;
OR700000000077;;COMMUNE;70025;;;;;;;;;;70120;Arbecey;;;;24/07/2018;;;;
OR700000000078;;COMMUNE;70026;;;;;;;;;;70100;Arc-lès-Gray;;;;24/07/2018;;;;
OR700000000079;;COMMUNE;70027;;;;;;;;;;70600;Argillières;;;;24/07/2018;;;;
OR700000000080;;COMMUNE;70028;;;;;;;;;;70360;Aroz;;;;24/07/2018;;;;
OR700000000081;;COMMUNE;70029;;;;;;;;;;70200;Arpenans;;;;24/07/2018;;;;
OR700000000082;;COMMUNE;70030;;;;;;;;;;70100;Arsans;;;;24/07/2018;;;;
OR700000000083;;COMMUNE;70031;;;;;;;;;;70110;Athesans-Étroitefontaine;;;;24/07/2018;;;;
OR700000000084;;COMMUNE;70032;;;;;;;;;;70100;Attricourt;;;;24/07/2018;;;;
OR700000000085;;COMMUNE;70035;;;;;;;;;;70500;Augicourt;;;;24/07/2018;;;;
OR700000000086;;COMMUNE;70036;;;;;;;;;;70190;Aulx-lès-Cromary;;;;24/07/2018;;;;
OR700000000087;;COMMUNE;70037;;;;;;;;;;70180;Autet;;;;24/07/2018;;;;
OR700000000088;;COMMUNE;70038;;;;;;;;;;70190;Authoison;;;;24/07/2018;;;;
OR700000000089;;COMMUNE;70039;;;;;;;;;;70700;Autoreille;;;;24/07/2018;;;;
OR700000000090;;COMMUNE;70040;;;;;;;;;;70110;Autrey-lès-Cerre;;;;24/07/2018;;;;
OR700000000091;;COMMUNE;70041;;;;;;;;;;70100;Autrey-lès-Gray;;;;24/07/2018;;;;
OR700000000092;;COMMUNE;70042;;;;;;;;;;70110;Autrey-le-Vay;;;;24/07/2018;;;;
OR700000000093;;COMMUNE;70043;;;;;;;;;;70100;Auvet-et-la-Chapelotte;;;;24/07/2018;;;;
OR700000000094;;COMMUNE;70044;;;;;;;;;;70000;Auxon;;;;24/07/2018;;;;
OR700000000095;;COMMUNE;70045;;;;;;;;;;70150;Avrigney-Virey;;;;24/07/2018;;;;
OR700000000096;;COMMUNE;70046;;;;;;;;;;70200;Les Aynans;;;;24/07/2018;;;;
OR700000000097;;COMMUNE;70047;;;;;;;;;;70000;Baignes;;;;24/07/2018;;;;
OR700000000098;;COMMUNE;70048;;;;;;;;;;70140;Bard-lès-Pesmes;;;;24/07/2018;;;;
OR700000000099;;COMMUNE;70049;;;;;;;;;;70500;Barges;;;;24/07/2018;;;;
OR700000000100;;COMMUNE;70050;;;;;;;;;;70190;La Barre;;;;24/07/2018;;;;
OR700000000101;;COMMUNE;70051;;;;;;;;;;70210;La Basse-Vaivre;;;;24/07/2018;;;;
OR700000000102;;COMMUNE;70052;;;;;;;;;;70800;Bassigney;;;;24/07/2018;;;;
OR700000000103;;COMMUNE;70053;;;;;;;;;;70130;Les Bâties;;;;24/07/2018;;;;
OR700000000104;;COMMUNE;70054;;;;;;;;;;70100;Battrans;;;;24/07/2018;;;;
OR700000000105;;COMMUNE;70055;;;;;;;;;;70300;Baudoncourt;;;;24/07/2018;;;;
OR700000000106;;COMMUNE;70056;;;;;;;;;;70160;Baulay;;;;24/07/2018;;;;
OR700000000107;;COMMUNE;70057;;;;;;;;;;70150;Bay;;;;24/07/2018;;;;
